area,state,station_id,station_name,sensor_id,parameter,value,unit,datetime_utc,station_lat,station_lon
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",12235673,,67.62219999999999,,2026-06-18T04:15:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",12235671,,36.39,,2026-06-18T04:15:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",12235674,,32.7,,2026-06-18T04:15:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",12235669,,26.0438,,2026-06-18T04:15:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",12235667,,3.9798000000000004,,2026-06-18T04:15:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",12235672,,19.224,,2026-06-18T04:15:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",14340876,,0.01106,,2026-06-18T04:15:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",14340877,,272.61,,2026-06-18T04:15:00Z,23.002657,72.591912
Ahmedabad,Gujarat,5631,"Maninagar, Ahmedabad - GPCB",14340878,,5.13,,2026-06-18T04:15:00Z,23.002657,72.591912
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",12235733,,189.4,,2026-06-18T04:00:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",12235732,,61.08,,2026-06-18T04:00:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",12235729,,25.37,,2026-06-18T04:00:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",12235728,,14.18,,2026-06-18T04:00:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",12235727,,106.35,,2026-06-18T04:00:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",12235726,,0.0,,2026-06-18T04:00:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",12235734,,32.46,,2026-06-18T04:00:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",12235731,,17.14,,2026-06-18T04:00:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",12235730,,36.67,,2026-06-18T04:00:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",14341923,,0.0993,,2026-06-18T04:00:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",14341925,,1.37,,2026-06-18T04:00:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",14341924,,194.43,,2026-06-18T04:00:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",19942,,7.19,,2022-10-31T01:45:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",19923,,1.61,,2022-10-31T01:45:00Z,23.221714,72.654328
